PostId,ParentId,Score,OwnerUserId,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Tags,CommentCount
4616720,4616694,1161,114251,3130281,,2017-07-12T16:07:33.083,2017-07-12T16:07:33.083,<javascript><javascript-events>,16
4635991,4635936,86,424004,424004,,2012-04-23T20:50:58.337,2012-04-23T20:50:58.337,<php><image><http><getimagesize>,20
4673436,610406,1284,2733,5211833,,2016-06-29T16:25:30.887,2016-06-29T16:25:30.887,<javascript><printf><string.format>,33
4694816,1755144,123,461096,461096,,2013-02-20T23:01:37.017,2013-02-20T23:01:37.017,<php><regex><domain-name>,12
4732119,4636456,34,86967,-1,,2017-05-23T10:30:52.590,2011-02-26T02:57:43.023,<c++><linux><gcc><stack-trace>,14
4737265,2150078,625,440602,4542217,,2016-09-20T10:12:19.587,2016-09-20T10:12:19.587,<android><visibility><android-softkeyboard>,63
4749368,4749330,499,14637,229792,,2014-07-16T09:57:16.683,2014-07-16T09:57:16.683,<string><bash><file>,19
4760517,4760215,724,577088,-1,,2017-05-23T12:03:09.083,2017-04-15T20:38:51.917,<python><shell><subprocess>,23
4782927,4782757,294,178761,2296458,,2015-01-03T00:40:01.483,2015-01-03T00:40:01.483,<c++><constructor><c++11><rvalue-reference><rule-of-three>,15
4793630,4793604,925,70393,938236,,2014-07-19T12:08:24.307,2014-07-19T12:08:24.307,<javascript><dom><insert><append>,11
4797069,4797050,485,68105,8262572,,2018-05-25T21:22:07.670,2018-05-25T21:22:07.670,<linux><background-process>,16
4812022,4811822,153,96100,96100,,2016-12-02T10:43:58.223,2016-12-02T10:43:58.223,<javascript><textrange>,28
4819886,4817029,554,164082,164082,,2018-05-17T12:47:43.510,2018-05-17T12:47:43.510,<javascript><jquery><touch>,27
4878259,4878159,437,244296,300187,,2017-02-22T07:04:48.883,2017-02-22T07:04:48.883,<java><android><sharing>,13
4883967,4883891,187,73673,73673,,2013-05-04T15:05:44.367,2013-05-04T15:05:44.367,<ruby-on-rails><logging><production-environment>,10
4898840,4898574,58,601224,295783,,2017-03-15T13:27:37.657,2017-03-15T13:27:37.657,<javascript><datetime><time><formatting>,15
4915359,4914008,53,355230,128421,,2016-08-03T20:46:04.277,2016-08-03T20:46:04.277,<python><parsing>,13
4919231,4919076,357,287047,287047,,2016-11-24T09:14:17.853,2016-11-24T09:14:17.853,<css>,23
4960020,4959975,1569,529548,1114,,2016-04-10T09:32:54.730,2016-04-10T09:32:54.730,<javascript><random>,26
4983354,2385799,1004,155585,3906189,,2017-03-13T13:50:37.327,2017-03-13T13:50:37.327,<ruby-on-rails><ruby><http><http-status-code-404>,22
538238,538060,2311,12597,18797,,2017-11-28T16:08:51.560,2017-11-28T16:08:51.560,<c#><.net><garbage-collection><idisposable>,63
542142,541920,672,18154,884463,,2017-08-06T11:12:24.010,2017-08-06T11:12:24.010,<java><html><javadoc>,12
543329,543263,79,22656,-1,Jon Skeet,2017-05-23T11:46:51.377,2011-07-13T10:10:36.397,<c#><.net><unit-testing><testing><assert>,11
553869,553682,848,20984,-1,Luc Touraille,2017-05-23T12:34:59.060,2014-06-25T06:50:17.203,<c++><forward-declaration><c++-faq>,22
566752,566746,65,55925,836407,Johannes Wei&#223;,2012-11-14T19:38:02.630,2012-11-14T19:38:02.630,<python><linux><console><terminal><width>,21
574698,386294,1013,63349,59087,Dominic Sayers,2017-11-13T22:18:27.710,2017-11-13T22:18:27.710,<validation><email><max><email-address>,16
574736,574691,323,14131,172322,Pavel Chuchuva,2014-03-03T19:38:48.693,2014-03-03T19:38:48.693,<php><mysql><great-circle>,18
588442,135688,609,56039,63550,,2018-08-26T19:47:58.193,2018-08-26T19:47:58.193,<macos><bash><path><environment-variables>,24
5078596,1713771,255,471341,1207489,,2018-02-06T14:18:50.603,2018-02-06T14:18:50.603,<javascript><browser><zoom><detection>,30
5106399,5105354,481,608805,1224741,,2016-06-01T21:58:51.843,2016-06-01T21:58:51.843,<android><keyboard><focus><android-edittext><android-softkeyboard>,17
5110476,4750939,91,614451,514483,,2014-02-20T21:43:20.110,2014-02-20T21:43:20.110,<android><animation><background><android-animation><drawable>,14
5114361,2002288,1150,633674,63550,,2015-11-15T07:28:25.477,2015-11-15T07:28:25.477,<android><android-context>,27
5118406,1000040,206,261782,64329,,2012-09-03T14:35:42.627,2012-09-03T14:35:42.627,<c#><wpf><mvvm><treeview><selecteditem>,17
5198968,5198716,172,72508,72508,,2015-01-22T15:13:43.810,2015-01-22T15:13:43.810,<iphone><xcode>,12
5201642,5189560,2635,193688,308315,,2015-03-19T14:40:49.807,2015-03-19T14:40:49.807,<git><squash><git-squash>,27
5255108,388483,336,729395,1464298,,2015-07-02T07:36:39.740,2015-07-02T07:36:39.740,<asp.net><asp.net-mvc>,15
5306832,5306680,523,236139,236139,,2018-03-22T17:29:24.390,2018-03-22T17:29:24.390,<javascript><arrays>,11
5344074,122102,1904,69959,5601591,,2018-04-07T01:18:24.947,2018-04-07T01:18:24.947,<javascript><object><clone>,29
5393324,1357639,353,174284,3424335,,2015-12-07T12:37:40.360,2015-12-07T12:37:40.360,<ruby-on-rails><ruby><rake>,13
5443941,5442910,335,4279,1797327,,2016-06-09T18:29:29.460,2016-06-09T18:29:29.460,<python><multiprocessing>,12
5535672,5033012,1068,210130,-1,,2017-05-23T12:26:27.257,2014-11-06T08:31:11.043,<android><textview><scale><android-textview><textwrapping>,76
