PostID, Overall_Sentiment_Score, Sentiment_Vector, Number_of_Comments_Between_Edits, Total_Scores_Between_Edits, Cummulative_Scores_Between_Edits
236803 ,  11.25 , "[ 0,1.9,0.55,0,0.6,0.4,3.15,0,0.6,0,1.4,0.5,0.8,1.75,0.6,-1.8,0.8 ]" , "[ 2,5,1,5 ]" , "[ 2.45,4.75,1.4,2.15 ]" , "[ 2.45,7.2,8.6,10.75 ]"
240181 ,  6.85 , "[ 0,1.1,1.25,0,1.45,1.35,0,0.25,0.85,0,0,-0.4,0,1 ]" , "[ 2,5,4 ]" , "[ 2.35,3.9,0.6 ]" , "[ 2.35,6.25,6.85 ]"
246128 ,  1.5 , "[ 0,-0.5,1.1,1.05,-0.25,-1.5,0,1.05,-0.25,0.25,0.8,0,-0.25 ]" , "[ 0,11 ]" , "[ -0.5,2 ]" , "[ -0.5,1.5 ]"
249126 ,  15.05 , "[ 0,0,1.7,0,3.55,1.2,1.45,0.25,0,1,1.1,-0.25,0,0.5,1.3,0.5,1,1,0.75 ]" , "[ 0,1,4,0,2,3,0,1 ]" , "[ 0,1.7,6.45,1,0.85,2.3,2,0.75 ]" , "[ 0,1.7,8.15,9.15,10,12.3,14.3,15.05 ]"
250400 ,  10.4 , "[ 0,-0.75,0.3,0.75,0.35,-1.55,1,-0.5,1,0,1,0.75,1,1.95,-0.8,-1.1,0,0.25,1,0.25,1,0,0.1,1.15,0.75,0.75,1.1,-0.35,0,0.9,-0.5,0.6 ]" , "[ 4,0,2,0,0,0,2,1,0,0,0,6,4 ]" , "[ 0.65,-0.55,0.5,1,1.75,1.75,1.15,0,1.25,1.25,1.25,3.85,1 ]" , "[ 0.65,0.0999999999999999,0.6,1.6,3.35,5.1,6.25,6.25,7.5,8.75,10,13.85,14.85 ]"
264037 ,  10.2 , "[ 0,0,1.25,-0.5,0,0.75,0,0.5,1.1,0,0.1,1.7,0,0,0.6,0,0,0,0,0,0,1.75,0.8,-0.15,-0.25,0,0.4,1.7,-0.25,0.7 ]" , "[ 4,3,2,0,1,0,0,0,0,0,9 ]" , "[ 0.75,1.6,1.8,0,0.6,0,0,0,0,0,4.7 ]" , "[ 0.75,2.35,4.15,4.15,4.75,4.75,4.75,4.75,4.75,4.75,9.45 ]"
266162 ,  12.45 , "[ 0,1.1,-0.6,0,-0.25,-0.4,-0.25,0.75,-0.15,1.25,2.3,-1.1,0,-0.05,2.25,0,0,2.1,0.05,1.25,1,-0.6,1,1,0,1.45,-0.45,1.25,-1.5,0,-0.4,-0.65,-0.4,0,0,-0.5,-0.5,1,0,1,0.5,1 ]" , "[ 1,0,0,10,5,0,1,5,2,0,1,0,0,0,0,0,0 ]" , "[ 1.1,-0.6,-0.25,4.6,4.4,0.4,1,0.75,-1.05,0,-0.5,0.5,1,1,1.5,1.5,1 ]" , "[ 1.1,0.5,0.25,4.85,9.25,9.65,10.65,11.4,10.35,10.35,9.85,10.35,11.35,12.35,13.85,15.35,16.35 ]"
271874 ,  13.5 , "[ 0,0.6,-0.25,1,0.85,0.5,0.4,1,0,0.85,0.25,1,0.5,1.8,0,0.75,-0.5,-0.25,0,1,-0.75,0.5,0.4,1,0,-0.5,0.5,2.85 ]" , "[ 1,0,0,1,0,2,0,2,0,0,1,0,3,4 ]" , "[ 0.6,0.75,1.85,0.5,1.4,0.85,1.25,2.3,0.75,0.25,-0.25,1,0.15,2.85 ]" , "[ 0.6,1.35,3.2,3.7,5.1,5.95,7.2,9.5,10.25,10.5,10.25,11.25,11.4,14.25 ]"
287944 ,  8.35 , "[ 0,0.75,0,0,1.65,0.75,1.5,0.75,0.5,-0.25,0.6,0,-0.5,-0.75,0.4,2.45,0.5 ]" , "[ 2,7,4,0 ]" , "[ 0.75,5.5,1.6,0.5 ]" , "[ 0.75,6.25,7.85,8.35 ]"
295229 ,  11.6 , "[ 0,0,0,1.8,1.85,0,0,0,0,0,0,0,2.65,0,0,1.2,0,0,0,1.85,0.25,0,1.5,-0.4,0,0,1.75,0,-0.6,-0.25 ]" , "[ 0,0,2,1,0,0,0,0,1,0,2,0,5,0,1,1,0 ]" , "[ 0,0,3.65,0,0,0,0,0,2.65,0,1.2,0,3.2,0,1.75,-0.6,-0.25 ]" , "[ 0,0,3.65,3.65,3.65,3.65,3.65,3.65,6.3,6.3,7.5,7.5,10.7,10.7,12.45,11.85,11.6 ]"
